corpus,file,bytes_in,bytes_out,aware_bytes,encode_ms,decode_ms,roundtrip_ok,model_id,H0,Hk,shannon_lb_bits,aware_bits,gap_bits,claimable,vs_21B_basement,notes
canterbury,alice29.txt,152089,45940,45940,950,5,true,lbr1,4.567680,1.777020,270265.192160,367520,97254.807840,false,,non_LBHX; DECODE_OK
canterbury,asyoulik.txt,125179,42153,42153,805,4,true,lbr1,4.808116,1.895652,237295.862008,337224,99928.137992,false,,non_LBHX; DECODE_OK
canterbury,cp.html,24603,8467,8467,207,0,true,lzm1,5.229137,0.774070,19044.445165,67736,48691.554835,false,,non_LBHX; DECODE_OK
canterbury,fields.c,11150,3358,3358,134,0,true,lzm1,5.007698,0.867415,9671.671920,26864,17192.328080,false,,non_LBHX; DECODE_OK
canterbury,grammar.lsp,3721,1321,1321,102,0,true,lzm1,4.632268,0.669126,2489.818892,10568,8078.181108,false,,non_LBHX; DECODE_OK
canterbury,kennedy.xls,1029744,49355,49355,6344,5,true,str1,3.573471,1.577198,1624110.670935,394840,-1229270.670935,false,,non_LBHX; DECODE_OK
canterbury,lcet10.txt,426754,113908,113908,1660,20,true,lbr1,4.669118,1.838323,784511.640687,911264,126752.359313,false,,non_LBHX; DECODE_OK
canterbury,plrabn12.txt,481861,153806,153806,2004,27,true,lbr1,4.531363,2.138312,1030369.088256,1230448,200078.911744,false,,non_LBHX; DECODE_OK
canterbury,ptt5,513216,52686,52686,287,4,true,lbr1,1.210176,0.530382,272200.271930,421488,149287.728070,false,,non_LBHX; DECODE_OK
canterbury,sum,38240,11144,11144,375,1,true,lzm1,5.328990,1.199259,45859.678573,89152,43292.321427,false,,non_LBHX; DECODE_OK
canterbury,xargs.1,4227,1874,1874,108,0,true,lzm1,4.898432,0.727751,3076.204630,14992,11915.795370,false,,non_LBHX; DECODE_OK
silesia,mozilla,51220480,15027279,15027279,528479,1734,true,lbr1,6.222429,2.068714,105960500.220714,120218232,14257731.779286,false,,non_LBHX; DECODE_OK
silesia,nci,33553445,1764304,1764304,111819,2612,true,lbr1,2.429256,0.971891,32610299.477777,14114432,-18495867.477777,false,,non_LBHX; DECODE_OK
silesia,samba,21606400,4141760,4141760,203504,453,true,lbr1,6.094506,1.628981,35196408.327722,33134080,-2062328.327722,false,,non_LBHX; DECODE_OK
silesia,webster,41458703,8678436,8678436,300715,3545,true,lbr1,4.970731,1.838754,76232358.270669,69427488,-6804870.270669,false,,non_LBHX; DECODE_OK
ramp,int_ramp_256k,262144,32,19,44,0,true,poly_d1,4.981552,4.014503,1052377.807662,152,-1052225.807662,true,WIN,LBHX_poly; DECODE_OK; vs_hosted_3546=-3527; poly_d1_19B_OK
